Offence,Act,Class
Prohibition of activities without consent etc,Human Tissue Act 2004 Sec 5,H*
Prohibition of activities without consent etc,Human Tissue Act 2004 Sec 5,H*
Prohibition of activities without consent etc,Human Tissue Act 2004 Sec 5,H*
Prohibition of any sponsorship promoting a tobacco product,"Tobacco Advertising & Promotion Act 2002 Secs 10, 16(2)",H*
Prohibition of brandsharing/brandstretching - Regulations made under this section,"Tobacco Advertising & Promotion Act 2002 Secs 11, 16(2)",H*
Prohibition of Broadcasting from ships or aircraft,Marine etc. Broadcasting(Offences) Act 1967,H*
Prohibition of commercial dealings in human material for transplantation,Human Tissue Act 2004 Sec 32,H*
Prohibition of disclosures Ð national security,"Anti-terrorism, Crime and Security Act 2001 Sec 79(3)",H*
Prohibition of disclosures Ð uranium enrichment technology,"Anti-terrorism, Crime and Security Act 2001 Sec 80(3)",H*
Prohibition of presentation of obscene performances of plays,Theatres Act 1968 Sec 2,H
Prohibition of quasi-military organisations,Public Order Act 1936 Sec 2,H*
Prohibition of sale of medical practices.,National Health Service Act 2006 S259 & Sch21.,H*
Prohibition of use of practitioners' titles by unqualified persons,Veterinary Surgeons Act 1966 Sec 20,H*
Prohibition on disclosure of information gained under this Part of the Act..,Transport Act 2000 S.102 Sch.9(5),H*
Prohibition on sending by post of certain articles,Post Office Act 1953 Sec 11,H
Prohibition on sending certain articles by post,Postal Services Act 2000 Sec 85,H*
Prohibition on the importation of false identity documents,Policing and Crime Act 2009,H*
Prohibition on unauthorised introduction of water or unauthorised use of supply system,Water Industry Act 1991 Sec 66I & 66J as added by Water Act 2003 Sch 4,H*
Prohibition on use of site in absence of approved programme - nuclear sites: decommissioning and clean-up,Energy Act 2008 S.47,H*
Prohibitions for the protection of revenue,Betting and Gaming Duties Act 1981,H*
Propietor or editor of information society service publishing tobacco advertisement,Tobacco Advertising and Promotion Act 2002 SS.3A(2)(a) & 16(1)(a),H*
Protection of occupiers against eviction and harassment,Caravan Sites Act 1968 as amended by Housing Act 2004 Sec 210,H*
Provide instruction/training for terrorism,Terrorism Act 2006 Sec 6(1)(5).,H*
Provide service re reading/listening to a terrorist publication.,Terrorism Act 2006 Sec 2(2)(d) & 11.,H*
Provide/make false information or statement,Employment Rights Act 1996 Sec 169(3)(4),H*
Provider of programme - broadcasting or including programme in programme service (Acts intended to stir up religious hatred).,Public Order Act 1986 Sec 29F (1)(2)(a) as added by Racial and Religious Hatred Act 2006,H*
"Provides particulars, or recklessly provides particulars, which he knows are false in a material particular.",Transport Act 2000S. 82(3)(6),H*
Provision for the protection of animals used for experimental or other scientific purpose,"Animals (Scientific Procedures) Act 1986 Secs 22(1), 22(2) and 24",H*
Provisions concerning air force procedure and policy b) triable either way,Air Force Act 1955 and subsequent amendments incorporated therewith as amended by Armed Forces Acts 1971 and 1996,H*
Provisions concerning army procedure and policy b) triable either way,"Army Act 1955 and subsequent amendments incorporated therewith, as amended by the Armed Forces Acts 1966, 1971 and 1996",H*
Public Health Offences as related to food and drugs,"Food Safety Act 1990 Secs 7, 8, 14, 15 and Regulations & Orders made under Secs 6(4), 13(1), 48(1)",H*
Public Nuisance,Common Law,H*
Public order acts (not elsewhere specified) against Channel Tunnel,"Channel Tunnel (Security) Order 1994 Articles 11,13(8),14(9),15(9),16(8),23(1)(3),28,32(1a)",H*
Public order offences in relation to terrorism,"Terrorism Act 2000 Secs 11, 15-19, 22, 39, 54 and 56-59",B
Public performance of a play (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29D as added by Racial and Religious Hatred Act 2006,H*
"Publication of any written, pictorial or other material in connection with the marketing of any knife - the material is otherwise likely to stimulate/encourage violent behaviour involving use of the knife as a weapon",Knives Act 1997 Sec 2(1)(b),H*
"Publication of any written, pictorial or other material in connection with the marketing of any knife -the material suggesting/indicating knife suitable for combat",Knives Act 1997 Sec 2(1)(a),H*
Publication or disclosure of information,"Sea Fish Industry Act 1970 Secs 14, 42",H*
Publish/cause another to publish a statement intending to/recklessly encouraging terrorism.,Terrorism Act 2006 Sec 1.,H*
"Publishes, or causes to be published, a tobacco advertisement","Tobacco Advertising & Promotion Act 2002 Secs 2(a), 16(2)",H*
Publishing or distributing written material (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29C as added by Racial and Religious Hatred Act 2006,H*
Putting people in fear of violence,Protection from Harassment Act 1997 Sec 4,H
Rabies control order 1974,"Rabies (Importation of Dogs, Cats and other Mammals) Order 1974",H*
Racially aggravated arson to dwelling endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated arson to motor vehicle endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated arson to motor vehicle not endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated arson to other building endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated arson to other property endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated arson to other property not endangering life,Criminal Damage Act 1971 Sec1 ,B
Racially aggravated criminal damage endangering life other,"Explosive Substance Act 1883 Sec 2,3",A
Racially aggravated criminal damage endangering life other,"Criminal Damage Act 1971 Sec 1(2)",B
Racially aggravated criminal damage to a building other than a dwelling endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Racially aggravated criminal damage to a building other than a dwelling endangering life,"Criminal Damage Act 1971 Sec 1(2)",B
Racially aggravated criminal damage to a dwelling endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Racially aggravated criminal damage to a dwelling endangering life,"Criminal Damage Act 1971 Sec 1(2)",B
Racially aggravated criminal damage to a vehicle endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Racially aggravated criminal damage to a vehicle endangering life,"Criminal Damage Act 1971 Sec 1(2)",B
Racially aggravated malicious wounding:- wounding or inflicting grievous bodily harm,"Offences against the Person Act 1861, S(20)",C
Racially or Religiously Aggravated assault occasioning actual bodily harm,Crime & Disorder Act 1998 S.29(1)(b) & (2),C
Racially or Religiously aggravated common assault or beating,Crime & Disorder Act 1998 S.29(1)(c ) & (3),C
racially or religiously Aggravated Criminal Damage,Crime & Disorder Act 1998 S.30(1) & (2),C
Racially or religiously aggravated fear or provocation of violence,"Crime & Disorder Act 1998 Sec 31(1)(a) And (4) (as added to by Anti-terrorism, Crime and Disorder Act 2001 Sec 39)",H
Racially or religiously aggravated harassment or alarm or distress - words or writing,Crime & Disorder Act 1998 S.31(1)(c ) & (4),H
Racially or religiously aggravated intentional harassment or alarm or distress - words or writing,Crime & Disorder Act 1998 S.31(1)(b) & (4),H
Racially or religiously aggravated malicious wounding,"Crime & Disorder Act 1998 Sec 29(1)(a) as added to by Anti-terrorism, Crime and Security Act 2001 Sec 39)",C
Racially or religiously aggravated malicious wounding,"Crime & Disorder Act 1998 Sec 29(1)(a) as added to by Anti-terrorism, Crime and Security Act 2001 Sec 39)",C
Racially or Religiously Aggravated Stalking with fear of violence,Crime & Disorder Act 1998 S.32(1)(b) & 4,H
Racially or religiously aggravated Stalking without violence,Crime & Disorder Act 1998 S.32(1)(a) & (4),H
Racially or Religiously Aggravated wounding or grievous bodily harm,Crime & Disorder Act 1998 S.29(1)(a) & (2),C
Rape,Sexual Offences Act 1956 s 1,J
Rape of a female aged 16 or over,Sexual Offences Act 2003 Sec 1,J
Rape of a female aged under 16,Sexual Offences Act 2003 Sec 1,J
Rape of a female child under 13 by a male,Sexual Offences Act 2003 Sec 5,J
Rape of a male aged 16 or over,Sexual Offences Act 2003 Sec 1,J
Rape of a male aged under 16,Sexual Offences Act 2003 Sec 1,J
Rape of a male child under 13 by a male,Sexual Offences Act 2003 Sec 5,J
Receive instruction/training for terrorism.,Terrorism Act 2006 6(2)(5).,H*
Receiving stolen goods,Theft Act 1968 Sec 22,F/G/K
Recklessly make false statement,Statistics of Trade Act 1947,H*
"Refuses or neglects to furnish information giving false statement, information obtained for the Act should not be disclosed",Population (Statistics) Act 1938,H*
Refusing to furnish information or furnishing false information for the CAA and Secretary of State,Civil Aviation Act 1982 Sec 84 (4)(b),H*
"Registration Card (has false registration card in possession, has article within para (f) or (g) in possession without reasonable excuse","Immigration Act 1971 Sec 26A (3)(c)(h)& 6 as added by Nationality, Immigration & Asylum Act 2002 Sec. 148",H*
"Registration Card (makes/uses or attempts to use a false registration card; alters or attempts to use, a registration card; makes article designed to be used in making false registration card or altering card)","Immigration Act 1971 Sec 26A (3)(a)(b)(d)(e)(f)(g) & 5 as added by Nationality, Immigration & Asylum Act 2002 Sec. 148 ",H*
Regs to prevent the spreading of rabies disease among animals,Animal Health Act 1981 Secs 72 and 76 or 73 and 76,H*
Regulation of provision of accommodation in aircraft,Civil Aviation Act 1982 Sec 71,H*
Regulations made under these sections Health and Safety,Merchant Shipping (additional safety measures for bulk carriers) Regs 1999 (SI 1644/99) ,H*
Regulations may create a criminal offence,"Aviation Security Act S.20B(7)(8) as added by Anti-terrorism, Crime and Security Act 2001 S.85",H*
Regulations relating to submersible and supporting apparatus - offences created by Sec 88,Merchant Shipping Act 1995 Sch 2,H*
Relating to commercial use of fishing for and landing of sea fish,Sea Fish (Conservation) Act 1967,H*
Relating to dealings with medicinal products,Medicines Act 1968 Sec 67 (2) and (3),H*
Relating to labour laws,Mineral Workings (Offshore Installations) Act Sec 7,H*
Relating to managers of offshore installations,Mineral Workings (Offshore Installations) Act 1971Sec 5(4),H*
Relating to the exercise of powers.,"Aviation Security Act 1982 Secs 7,11,12,13,14 & 20",H*
remain is invalid etc. ,Criminal Justice & Police Act 2001 S.39,H*
Removal of articles from places open to the public,Theft Act 1968 Sec 1,F/G/K
Removal of objects from a scheduled monument using a metal detector,Ancient Monuments & Archaeological Areas Act 1979 Sec 42 (3).,H*
Remove/disturb limestone on designated land,Wildlife and Countryside Act 1981 S34,H*
Removing corpse from grave,Common Law,H*
Rendering food injurious to health,Food Safety Act 1990 Sec 7,H*
"Repair/maintain wireless apparatus knowing that broadcasts are to be made contrary to S.77,78,79 or 80.",Wireless Telegraph Act 2006 S.84.,H*
"Repairing, testing etc. firearm for person without a certificate (Group I)",Firearms Act 1968 Sec 3(3) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
"Repairing, testing etc. firearm for person without a certificate (Group II)",Firearms Act 1968 Sec 3(3) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Reproduce British currency note or make imitation coins,"Forgery & Counterfeiting Act 1981 Secs 18,19",H*
Re-programming mobile telephones etc.,Mobile Telephones (Re-programming) Act 2000 Sec. 1,H*
Rescuing a prisoner in custody,Common Law,C
Resisting a Sheriff in the execution of a writ,Sheriffs Act 1887 Sec 8(2),H*
Resisting or wilfully obstructing a custody officer,Criminal Justice & Public Order Act 1994 Sec 13(2),H*
Resisting or wilfully obstructing a designated or accredited person in the execution of their duty,Police Reform Act 2002 Sec 46(2),H*
Resisting or wilfully obstructing a prison custody officer ,Criminal Justice Act 1991 Sec 90(3),H*
Resisting or wilfully obstructing a traffic officer in the execution of their duties,Traffic Management Act 2004 Sec 10(2),H*
Resisting or wilfully obstructing court security officer,Criminal Justice Act 1991 Sec 78(2),H*
Responsible Officer failing to supervise as instructed by the master and required by Reg 6(2),The Merchant Shipping (Pilot Transfer Arrangements) Regs 1999 Reg 6(2) (SI 17/99),H*
Restriction of practice of veterinary surgery by unqualified persons,Veterinary Surgeons Act 1966 Sec 19(1),H*
Restriction of unlicensed carriage by air for reward,"Civil Aviation Act 1982 Sec 64 (5)(a)&(b), 64(7)",H*
"Restriction on advertisement, etc. offering to treat venereal disease",Venereal Disease Act 1917 Sec 2,H*
Restriction on disclosure,Nuclear Safeguards Act 2000 Sec 6,H*
Restriction on disclosure of information,Fisheries Act 1981 Sec 12,H*
Restriction on the placing on the market or use of dangerous substances and preparations,"Control of Dangerous Substances and Preparations Regulations 2006 RR.3, 11(a) & (b) & 12",H*
Restrictions on disclosure of information obtained under Sec 23,Health Act 1999 Sec 24,H*
"Restrictions on fishing, etc. by British fishing boats",British Fishing Boats Act 1983 Sec 1,H*
Restrictions on persons who may carry on business as promoters of trading stamp schemes,Trading Stamps Act 1964 Sec 1,H*
Restrictions or disclosure of information,Medicines Act 1968 Sec 118,H*
Right to use approved status,Private Security Industry Act 2001 S16(2)(a)(b)(c),H*
Riot,Public Order Act 1986 Sec 1,B
Road Service Licence,Public Passenger Vehicles Act 1981 Sec 65(1)(a) & (2),H
Robbery - personal,Theft Act 1968 Sec 8,C
Robbery - business,Theft Act 1968 Sec 8,C
Seduction of members of HM Forces from their duty or allegiance,Incitement to Disaffection Act 1934,H*
Sell/transfer an air weapon unlawfully ,Firearms Act 1968 as added by Violent Crime Reduction Act 2006 S.3(2).,C
Selling abroad wreck found in British waters,Merchant Shipping Act 1995 Sec 245,H*
"Selling etc., firearm to person without a certificate. ",Firearms Act 1968 Sec 3(2) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
"Selling etc., firearm to person without a certificate. ",Firearms Act 1968 Sec 3(2) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Selling food not complying with food safety requirements,Food Safety Act 1990 Sec 8,H*
Selling food not of the nature or substance or quality demanded,Food Safety Act 1990 Sec 14,H*
Send/attempt to send false/misleading message by wireless telegraphy likely to endanger personal safety/ship/aircraft/vehicle.,Wireless Telegraphy Act 2006 S.47.,H*
Sending false/misleading messages likely to prejudice the efficiency of any safety of life service,"Wireless Telegraphy Act, 1949 Sec 5(a)",H*
Sending unseaworthy ship to sea ,Merchant Shipping Act 1995 Sec 98,H*
Service provider doing an act abroad which would be an offence if done in UK,Tobacco Advertising and Promotion Act 2002 SS.2(4) & 16(1)(a),H*
Serving member/former member of Security or intelligence Services disclosing information relating to security or intelligence. Person notified as subject to security or intelligence provisions unlawfully disclosing secret/ unlawfully disclosing secret.,The Official Secrets Act 1989 S.1 (1) (a) & (b),H*
Setting spring guns etc with intent to inflict grievous bodily harm,Offences against the Person Act 1861 Sec 31,C
Sex with an adult relative - consenting to penetration - offender aged 16 or over relative aged 18 or over,Sexual Offences Act 2003 Sec 65,D
Sex with an adult relative - penetration - offender aged 16 or over relative aged 18 or over,Sexual Offences Act 2003 Sec 64,D
Sexual activity with a child family member - no penetration - offender 18 or over - victim female 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender 18 or over - victim female under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender 18 or over - victim male 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender 18 or over - victim male under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender under 18 - victim female 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender under 18 - victim female under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender under 18 - victim male 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - no penetration - offender under 18 - victim male under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender 18 or over - victim female 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender 18 or over - victim female under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender 18 or over - victim male 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender 18 or over - victim male under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender under 18 - victim female 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender under 18 - victim female under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender under 18 - victim male 13 to 17,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child family member - penetration - offender under 18 - victim male under 13,Sexual Offences Act 2003 Sec 25,J
Sexual activity with a child under 13 - Female child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 13 - Female child - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 13 - Male child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 13 - Male child - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Female child - no penetration,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Female child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Female child - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Female child - with penetration,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Male child - no penetration,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Male child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Male child - Offender under 18,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a child under 16 - Male child - with penetration,Sexual Offences Act 2003 Sec 9,J
Sexual activity with a person with a mental disorder impeding choice - Female person,Sexual Offences Act 2003 Sec 30,J
Sexual activity with a person with a mental disorder impeding choice - Female person - no penetration,Sexual Offences Act 2003 Sec 30,J
Sexual activity with a person with a mental disorder impeding choice - Male person,Sexual Offences Act 2003 Sec 30,J
Sexual activity with a person with a mental disorder impeding choice - Male person - no penetration,Sexual Offences Act 2003 Sec 30,J
Sexual assault of a female child under 13,Sexual Offences Act 2003 Sec 7,J
Sexual assault on a female,Sexual Offences Act 2003 Sec 3,D
Sexual assault on a male,Sexual Offences Act 2003 Sec 3,D
Sexual assault on a male child under 13,Sexual Offences Act 2003 Sec 7,J
Sexual penetration of a corpse,Sexual Offences Act 2003 Sec 70,D
Ship entering or remaining in a temporary exclusion zone,Merchant Shipping Act 1995 Sec 100B(6) as added by The Merchant Shipping and Maritime Security Act 1997 Sec 1,H*
Ship owner/master make/procure broadcast capable of receipt in UK or cause wireless telegraphy interference in UK from non-British registered ship in prescribed area of high seas.,Wireless Telegraph Act 2006 S.79 & 93(1).,H*
Shooting at naval or revenue vessels,Customs & Excise Management Act 1979 Sec 85(2),B
Shortening a shot gun or other smooth bore gun (Group I),Firearms Act 1968 Sec 4(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Showing an indecent exhibition,Common Law,H*
Solicitation by a man,Sexual Offences Act 1956 s 32,H
Soliciting another for the purpose of obtaining their sexual services as a prostitute in a street or public place,Sexual Offences Act 2003 Sec51A,H*
Soliciting or receiving bribe or giving or offering bribe,Public Bodies Corrupt Practices Act 1889 Sec 1 (1)(2),I
Soliciting to commit murder,Offences against the Person Act 1861 Sec 4,A
Soliciting to commit murder,Criminal Law Act 1977 Sec1,A
Sought to engage/offered to engage/engaged in regulated activity from which barred.,Safeguarding Vulnerable Groups Act 2006 S.7.,H*
"Spying, wrongful communication etc.",Official Secrets Act 1911,H*
Storing explosives or highly flammable materials without a fire certificate to cover this,Fire Precautions Act 1971 Sec 8(3),H*
Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Insolvency Act 1986 as inserted by Sch.1 Tribunals, Courts and Enforcement Act 2007 S.251R.",H*
Subject of debt relief order fraudulently dispose of property.,"Insolvency Act 1986 as inserted by Sch.1 Tribunals, Courts and Enforcement Act 2007 S.251Q",H*
Summary Regulations made under Part 8,"Anti-terrorism, Crime & Security Act 2001 Sec.77(2)(d)(3)(b)",H*
Supplementary provisions as to rights of entry and related rights,Medicines Act 1968 Sec 114(3),H*
Supply etc. of articles for administering or preparing controlled drugs ,Misuse of Drugs Act 1971 Sec 9A ,H*
Supply of intoxicating substance,Intoxicating Substances (Supply) Act 1985 Sec1 ,H*
Supplying a scheduled substance to another person ,Criminal Justice (International Co-operation) Act 1990 Sec 12 ,B
Supplying article with unauthorised mark,Hallmarking Act 1973 Sec 7(6),H*
Supplying false information to assay office,Hallmarking Act 1973 Sec 4(4),H*
Supplying firearms to person denied them under Section 21 (Group I) ,Firearms Act 1968 Sec 21(5) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Supplying firearms to person denied them under Section 21 (Group II) ,Firearms Act 1968 Sec 21(5) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Supplying firearms to person denied them under Section 21 (Group III) ,Firearms Act 1968 Sec 21(5) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Supplying or offering to supply a controlled drug - Amphetamine,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Anabolic steroids,Misuse of Drugs Act 1971 Sec 4(3) ,C
Supplying or offering to supply a controlled drug - Class A Other,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Class B - Mephedrone including cathinone derivatives ,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Class B - Mephedrone including cathinone derivatives ,Misuse of Drugs Act 1971 Sec 5(3),B
Supplying or offering to supply a controlled drug - Class B - Other,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Class B Cannabis and cannabis resin,Misuse of Drugs Act 1971 as amended by The Misuse of Drugs Act 1971 (amendment) Order 2008,B
Supplying or offering to supply a controlled drug - Class C - Other,Misuse of Drugs Act 1971 Sec 4(3) ,C
Supplying or offering to supply a controlled drug - Class unspecified,Misuse of Drugs Act 1971 Sec 4(3) ,H*
Supplying or offering to supply a controlled drug - Cocaine,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Crack,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Crystal Meths,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - GHB,Misuse of Drugs Act 1971 Sec 4(3) ,C
Supplying or offering to supply a controlled drug - GHB,Misuse of Drugs Act 1971 Sec 4(3) ,C
Supplying or offering to supply a controlled drug - Heroin,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - LSD,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - MDMA,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying or offering to supply a controlled drug - Methadone,Misuse of Drugs Act 1971 Sec 4(3) ,B
Supplying video recording of unclassified work.,Video Recordings Act 1984 Sec 9 as amended by the Criminal Justice and Public Order Act 1994 Sec 88(2),H*
Suppression etc of documents,Theft Act 1968 Sec 20 (1),H*
Synthetic cannabinoid agonists,Misuse of Drugs Act 1971 (Amendment) Order 2009,H*
Synthetic cannabinoid receptor agonists,Misuse of Drugs Act 1971 (Amendment) Order 2009,B
Synthetic cannabinoid receptor agonists,Misuse of Drugs Act 1971 (Amendment) Order 2009,B
Synthetic cannaboid agonists,Misuse of Drugs Act 1971 (Amendment) Order 2009,B
Synthetic cannaboid agonists,Misuse of Drugs Act 1971 as amended by The Misuse of Drugs Act 1971 (amendment) Order 2008,B
Take or ride a pedal cycle without consent etc.,Theft Act 1968 Sec 12(5) or By-law,H*
"Take or to make indecent photographs or pseudo- photographs, of children",Protection of Children Act 1978 Secs 1 & 6 as amended by the Criminal Justice & Public Order Act 1994 Sec 84 ,J
Taking marks from public stores,Public Stores Act 1875 Sec 5,H*
Taking or sending ship to sea with load line submerged,"Merchant Shipping Act 1995 Sch 3(paras 4,14)",H*
Tampering with motor vehicles,Road Traffic Act 1988 Sec 25,H*
"Tampering with nomination papers, ballot papers etc",Representation of the People Act 1983 Sec 65 (3),H*
Tenant permitting premises to be used as a brothel,Sexual Offences Act 1956 s 35,H*
Tenant permitting premises to be used for prostitution,Sexual Offences Act 1956 s 36,H*
Terrorist make demand relating to devices/materials/facilities,Terrorism Act 2006 Sec 11,H*
Terrorist make threat to use radioactive device/material,Terrorism Act 2006 Sec 11,H*
TEW,Animal & Animal Products (Import & Export) (England) Regulations 2006 RR32(a) & (b) & 34(4),H*
TEW  Offences,Medicines for Human Use (Clinical Trials) Regulation 2004,H*
TEW - Regulations made under Part 8,"Anti-terrorism, Crime and Security Act 2001 S.77(2)(d)(3)(a)",H*
TEW - Regulations made under S.247,Transport Act 2000 S.247(6)(7)(9),H*
TEW Offences,Terrorist Asset-Freezing etc Act 2010,H*
TEW Offences,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,H*
TEW Offences,"The Terrorism (United Nations Measures) Order 2006 SI 2657/2006 A7,8,10",H*
TEW Offences,"The Terrorism (United Nations Measures) Order 2006 SI 2657/2006 A6,11 Sch. 1 P4(b)(d)",H*
TEW offences,Plastic Materials and Articles in Contact with Food (England) (No 2) Regulations 2006 SI 2687/2006 A15(1.2a),H*
TEW offences,Waste and Emissions Trading Act 2003 Sec 8,H*
TEW offences,Veterinary Medicines Regulations 2005.,H*
TEW Offences,"Transfrontier Shipment of Waste Regulations 2007 RR.17-44, 52-54 &Sch.6 P.6(2) & (3)",H*
TEW Offences,Swine Vesicular Disease regulations 2009,H*
TEW Offences,Cattle Identification Regulations 2007,H*
TEW Offences,"Merchant Shipping (Safety of Navigation) Regulations 2002 Sch.4 PP.2-6, 9-11, 15 & 17-19",H*
TEW offences,Adoption Act 1976,H*
TEW offences,Adoption & Children Act 2002,H*
TEW offences,"Aviation and Maritime Security Act 1990 Sub Sec 19,21,22,23,24,31(1) & (3),36,40(1a) & (2),42(1) & (3a) & 48",H*
TEW offences,Commissioners for Revenue & Customs Act 2005 ,H*
TEW offences,Pensions Act 2005,H*
TEW offences,Education Act 2005,H*
TEW offences,Medicines (Traditional Herbal Medicinal Products For Human Use) Regulations 2005 Sch 3,H*
TEW offences,Medicines (Homoeopathic Medicinal Products For Human Use) Amendment Regulations 2005 Sch 6,H*
TEW offences,"Ship & Port Facility (Security) Regs 2004 SI1495/2004 R,6(5)a)(b)(6),8, 12(1)(a)(2), 15",H*
TEW offences,"Technical Assistance Control Regulations 2006 SI 1719/2006 R.3, 4(2)(3), 5(2).",H*
TEW offences,Plant Protection Products Regs 2005 SI 1435/2005,H*
TEW offences,"Compensation Act 2006 S.7,11",H*
TEW offences,"Export of Goods, Transfer of Technology & Provision of Technical Assistance (Control) Order 2003 SI 2764/2003 A16 (2)(7)((17)(18).",H*
TEW offences,Care Act 2000 Sec 89,H*
TEW Offences,Protection of Wrecks Act 1973.,H*
TEW Offences,Ecodesign for Energy-related Products Regulation 2010 S.14,H*
TEW Offences,Wine regulations 2009 RR.12 & 14 (3) & Sch.2 P.2(1) & Sch.3 P.1,H*
TEW Offences,Sea Fisheries Act 1968 S.10,H*
TEW Offences,"Environmental Permitting (England and Wales) Secs 12 (1), 38 (1) (a) (b) (2) (3) & 39 (1)",H*
TEW Offences,"Environmental Permitting (England and Wales) Secs 38 (4), (a) (b) (i) (ii) (iii) (c) (d) (i) (ii) & 39 (3)",H*
TEW offences,Postal Services Act 2000 except Sec 83 & 85,H*
TEW offences,Water Act 2003,H*
TEW Offences,Horse Passports Regulations 2009,H*
TEW offences,Animal & Animal Products (Import & Export) (No.2) Regulations 2004 R.33 (SI2886/2004).,H*
TEW offences,Animal & Animal Products (Import & Export) (England) Regulations 2006 (SI 1471/2006) R34(4).,H*
TEW offences,Common Agricultural Policy (Protection of Community Arrangements) Regs 1992,H*
TEW Offences,"Civil Aviation (Insurance) Regulations 2005 Sec 4(1), 9, 10 (2), 11, 12 (1)",H*
TEW Offences,"Communications Act 2003 except S 125, 126",H*
TEW Offences,Conservation (Habitats and species) Regulation,H*
TEW Offences,"Control of Pollution (Oil Storage) (England) Regulations 2001 RR.3, 4, 4, 7 & 9",H*
TEW Offences,"Criminal Justice Act 1987 S.2(14), (15), (16) & (17)",H*
TEW offences,"End-of-Life Vehicles Regs 2003 Reg 6,38(1),42",H*
